"Ціна, грн",Кімнати,Площа,Район,Адреса,Координати,Відстань,Рейтинг
18000,2,40,Голосіївський,"вул. Толстого, 17б","(50.440250011365976, 30.508970017781934)",520,3
14000,3,70,Дніпровський,"вул. Березняківська, 16а","(50.42922998798511, 30.6134900034468)",2708,1
8990,1,36,Оболонський,"вул. Полярна, 11","(50.51924001915344, 30.45997997301629)",2758,2
12000,1,36,Голосіївський,"вул. Володі Дубініна, 5/15","(50.39173999819519, 30.495959962949144)",551,3
8000,2,46,Солом'янський,"Металістів пров., 1","(50.44616998194073, 30.43928002493422)",1039,2
22000,1,55,Дарницький,"вул. Осокорська, 2а","(50.39758921398898, 30.602558335691178)",404,2
13000,1,40,Дарницький,"вул. Ревуцького, 40в","(50.40396620831599, 30.650529710858052)",357,2
21000,1,50,Дарницький,"вул. Зарічна, 2к2","(50.39758741545094, 30.60339224711459)",391,2
20000,1,60,Дніпровський,"Дніпровська наб., 18а","(50.39877609614221, 30.615205287675316)",355,1
9000,2,55,Дарницький,"Харківське ш., 148","(50.419969996633, 30.652340040845957)",2061,2
20000,3,100,Дніпровський,"вул. Микільсько-Слобідська, 2б","(50.454469993922146, 30.591049972265523)",569,1
24000,3,110,Голосіївський,"вул. Тарасівська, 8","(50.439259982872414, 30.507290032928466)",592,3
15000,1,45,Подільський,"вул. Вишгородська, 45б","(50.509979985891846, 30.449430006765482)",3453,2
8999,1,26,Дніпровський,"просп. Соборності, 17","(50.4370056237951, 30.60864564148239)",1780,1
12000,1,50,Дарницький,"вул. Ревуцького, 5","(50.42149001286435, 30.641320017465063)",2407,2
30424,4,150,Дарницький,"Дніпровська наб., 19","(50.40792997945471, 30.61148999753013)",1402,2
8000,1,37,Дарницький,"вул. Княжий Затон, 7","(50.40198000166657, 30.625830008939772)",671,2
12500,2,67,Солом'янський,"вул. Івана Пулюя, 2","(50.41768001877594, 30.463809999853282)",3200,2
6000,1,35,Деснянський,"вул. Шолом-Алейхема, 8а","(50.470270007136406, 30.629839995237916)",1150,1
11000,2,44,Печерський,"бульв. Дружби Народів, 3","(50.41200999655388, 30.52777003987123)",215,3
20000,2,73,Дніпровський,"вул. Сверстюка, 6","(50.44594562539568, 30.607386044868896)",928,1
8000,1,36,Оболонський,"вул. Тимошенка, 6а","(50.51041001943426, 30.4946999952638)",264,2
12000,1,38,Печерський,"бульв. Українки, 7","(50.43467001078403, 30.531260012896382)",269,3
17500,2,75,Дарницький,"вул. Бориса Гмирі, 16","(50.390859982180814, 30.630250037941266)",896,2
10000,2,52,Дарницький,"вул. Вербицького, 11","(50.40810998082537, 30.66319996987619)",534,2
12000,3,80,Дарницький,"вул. Срібнокільська, 1/2","(50.40235002078225, 30.630049961912476)",488,2
28396,1,56,Голосіївський,"вул. Деміївська, 13","(50.40380998067735, 30.513210003503218)",329,3
14000,1,42,Солом'янський,"вул. Юнацька, 19","(50.39582001529439, 30.468339999424444)",1488,2
10000,2,45,Печерський,"бульв. Українки, 28","(50.42548998278821, 30.540849999776498)",287,3
20000,2,45,Подільський,"вул. Спаська, 25","(50.468161001880155, 30.52096214382496)",458,2
15000,2,65,Солом'янський,"вул. Воробйова, 13е","(50.44079257795424, 30.350616858313717)",1957,2
10000,2,47,Шевченківський,"бульв. Шевченка, 38","(50.39236998203788, 30.438270005601595)",2830,3
9000,3,70,Оболонський,"вул. Вишгородська, 32/2","(50.50809708494789, 30.450880044440055)",3367,2
30424,4,136,Дарницький,"Дніпровська наб., 23","(50.40647999402438, 30.612319973582544)",1232,2
12500,1,44,Шевченківський,"просп. Перемоги, 96","(50.45848999659461, 30.398090011625584)",442,3
6000,2,44,Дарницький,"вул. Сімферопольська, 4","(50.42756412723455, 30.64629464219516)",2973,2
14500,2,65,Голосіївський,"вул. Ломоносова, 60/5","(50.383319999269816, 30.459240018603964)",1038,3
10500,2,54,Оболонський,"Балтійський пров., 3","(50.49612700375981, 30.465009701543778)",2448,2
10000,1,30,Печерський,"вул. Тютюнника, 11/2","(50.42615001575376, 30.523559977544267)",652,3
6500,1,32,Шевченківський,"вул. Естонська, 5","(50.46362001470459, 30.409600041066113)",620,3
7500,1,48,Дарницький,"вул. Ревуцького, 42б","(50.39794998261982, 30.65111997101974)",384,2
15000,3,96,Дарницький,"просп. Бажана, 12","(50.39740000000006, 30.63101000000006)",233,2
7500,1,28,Солом'янський,"вул. Миколи Голего, 28а","(50.439339988138215, 30.437199971842205)",1803,2
10000,1,56,Солом'янський,"вул. Миколи Голего, 6","(50.44010999167344, 30.440230029840137)",1664,2
14000,1,42,Подільський,"просп. Правди, 41д","(50.50534154506028, 30.447001844396027)",3395,2
16000,2,64,Подільський,"вул. Данченка, 34а","(50.4961869473755, 30.432034866758478)",2164,2
19000,3,85,Подільський,"вул. Тираспольська, 58","(50.482645836127695, 30.43115865769585)",658,2
5500,1,32,Шевченківський,"вул. Олени Теліги, 35в","(50.478740263988186, 30.451737259652532)",647,3
6000,1,25,Подільський,"вул. Світлицького, 35","(50.50726999086666, 30.42868001872145)",3395,2
6000,2,46,Дніпровський,"вул. Курнатовського, 17б","(50.48919999063443, 30.599760026950264)",3779,1
10000,2,81,Дарницький,"вул. Ахматової, 13","(50.410257057707454, 30.635086144316865)",1298,2
6500,2,52,Подільський,"просп. Гонгадзе, 20в","(50.51187999570365, 30.416549979903067)",4024,2
8500,1,34,Святошинський,"вул. Жмеринська, 18","(50.43759998885804, 30.373849966737367)",2122,1
13000,1,40,Подільський,"вул. Тираспольська, 58","(50.482645836127695, 30.43115865769585)",658,2
11000,1,30,Голосіївський,"вул. Ломоносова, 58а","(50.38443998917214, 30.459609995810126)",1108,3
28396,2,55,Печерський,"вул. Коновальця, 34а","(50.4276691956026, 30.533201778007115)",386,3
40565,4,100,Шевченківський,"вул. Ярославів Вал, 19","(50.45195997937805, 30.508738770601248)",589,3
4000,2,45,Голосіївський,"вул. Ломоносова, 31/1","(50.390499979439426, 30.488150040846392)",123,3
8000,1,42,Солом'янський,"вул. Солом'янська, 8","(50.426530009334215, 30.475880024244958)",1914,2
10999,1,45,Дарницький,"Харківське ш., 190","(50.40858911877319, 30.672187193654587)",674,2
5500,1,30,Шевченківський,"вул. Ольжича, 27/22","(50.479900017604194, 30.444210008924927)",808,3
5999,2,51,Дніпровський,"вул. Астраханська, 25","(50.437419987487345, 30.639050030447095)",2578,1
8000,1,34,Оболонський,"вул. Гайдай, 9а","(50.51603000169436, 30.487809987034552)",888,2
17500,1,44,Солом'янський,"вул. Солом'янська, 20в","(50.4235702819209, 30.47980292911523)",2113,2
22000,2,84,Шевченківський,"вул. Жилянська, 118","(50.44184001648884, 30.497009963959925)",602,3
11000,1,38,Шевченківський,"вул. Бакинська, 37д","(50.48292001731829, 30.451239994937197)",1091,3
8500,2,52,Солом'янський,"вул. Виборзька, 41","(50.4517521406685, 30.414269077925272)",821,2
26368,2,60,Печерський,"Печерський узвіз, 8","(50.43574000263388, 30.533880028190964)",229,3
12000,1,36,Шевченківський,"вул. Жилянська, 118","(50.44184001648884, 30.497009963959925)",602,3
8500,1,41,Оболонський,"вул. Калнишевського, 14","(50.52379998402847, 30.46708003173913)",2224,2
21000,1,45,Дарницький,"вул. Зарічна, 2к2","(50.39758741545094, 30.60339224711459)",391,2
7000,1,49,Святошинський,"вул. Верховинна, 91","(50.451358047558664, 30.35233486923547)",1024,1
12000,3,70,Оболонський,"просп. Рокосовського, 2","(50.520050004366794, 30.45925996753354)",2797,2
24339,3,88,Шевченківський,"вул. М. Житомирська, 20","(50.45367999954786, 30.519990041162828)",461,3
